# ILSVRC2012_val_00001758
10.00   26.21   2.00    9.85    0.00    26.66   0.67   
20.00   13.69   3.00    6.37    0.00    28.08   0.78   
30.00   6.44    4.00    4.88    0.00    29.44   0.84   
40.00   6.73    4.00    4.02    0.00    30.73   0.88   
50.00   7.71    3.00    3.48    0.00    31.83   0.91   
60.00   5.94    4.00    3.11    0.00    32.82   0.93   
70.00   5.48    3.00    2.77    0.00    33.85   0.94   
80.00   5.80    3.00    2.20    0.00    36.24   0.97   
90.00   5.55    3.00    1.55    0.00    40.55   0.99   
100.00  5.48    3.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00002765
10.00   0.03    219.00  15.47   0.00    30.62   0.84   
20.00   0.04    139.00  11.35   0.00    31.81   0.87   
30.00   0.15    72.00   9.17    0.00    32.75   0.89   
40.00   0.28    47.00   7.71    0.00    33.66   0.90   
50.00   0.42    32.00   6.59    0.00    34.43   0.91   
60.00   0.77    21.00   5.68    0.00    35.15   0.92   
70.00   0.48    27.00   4.92    0.00    35.80   0.93   
80.00   1.61    11.00   3.63    0.00    37.53   0.95   
90.00   3.01    10.00   2.05    0.00    41.02   0.97   
100.00  2.75    10.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00002916
10.00   0.13    69.00   14.89   0.00    32.40   0.82   
20.00   0.22    57.00   12.08   0.00    33.72   0.89   
30.00   0.23    55.00   10.09   0.00    34.65   0.91   
40.00   0.26    51.00   8.26    0.00    35.54   0.92   
50.00   0.25    52.00   7.00    0.00    36.39   0.93   
60.00   0.29    48.00   6.16    0.00    36.97   0.93   
70.00   0.29    50.00   5.31    0.00    37.67   0.94   
80.00   0.22    55.00   3.85    0.00    39.34   0.96   
90.00   0.25    48.00   2.13    0.00    43.06   0.98   
100.00  0.25    47.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00006642
10.00   95.44   1.00    14.81   0.00    29.31   0.82   
20.00   96.54   1.00    11.17   0.00    30.69   0.85   
30.00   96.33   1.00    9.16    0.00    31.82   0.87   
40.00   96.49   1.00    7.53    0.00    32.81   0.88   
50.00   96.60   1.00    6.53    0.00    33.55   0.89   
60.00   96.80   1.00    5.63    0.00    34.23   0.90   
70.00   97.05   1.00    4.92    0.00    34.89   0.91   
80.00   96.62   1.00    3.60    0.00    36.48   0.93   
90.00   96.30   1.00    1.93    0.00    40.00   0.97   
100.00  96.03   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00007154
10.00   99.74   1.00    10.24   0.00    26.64   0.84   
20.00   99.60   1.00    7.62    0.00    28.45   0.87   
30.00   99.60   1.00    6.31    0.00    29.78   0.89   
40.00   99.29   1.00    5.25    0.00    31.24   0.91   
50.00   99.47   1.00    4.50    0.00    32.43   0.92   
60.00   99.54   1.00    3.97    0.00    33.32   0.93   
70.00   99.45   1.00    3.57    0.00    34.12   0.94   
80.00   99.19   1.00    2.79    0.00    36.28   0.96   
90.00   99.02   1.00    1.73    0.00    40.41   0.98   
100.00  99.24   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00007179
10.00   0.86    16.00   12.33   0.00    29.14   0.84   
20.00   0.24    22.00   9.43    0.00    30.31   0.87   
30.00   0.39    18.00   7.43    0.00    31.32   0.89   
40.00   0.68    15.00   6.24    0.00    32.33   0.91   
50.00   0.29    17.00   5.39    0.00    33.20   0.92   
60.00   0.51    15.00   4.74    0.00    33.92   0.93   
70.00   0.19    19.00   4.14    0.00    34.80   0.94   
80.00   0.41    16.00   3.19    0.00    36.52   0.96   
90.00   0.92    13.00   1.86    0.00    40.48   0.98   
100.00  0.95    13.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00007543
10.00   1.13    15.00   20.31   0.00    32.37   0.87   
20.00   0.96    17.00   16.21   0.00    33.41   0.89   
30.00   1.25    12.00   13.10   0.00    34.28   0.90   
40.00   0.93    16.00   11.01   0.00    34.93   0.90   
50.00   0.96    17.00   9.27    0.00    35.64   0.91   
60.00   1.11    17.00   7.90    0.00    36.14   0.92   
70.00   0.93    19.00   6.72    0.00    36.68   0.92   
80.00   0.79    20.00   4.60    0.00    38.13   0.94   
90.00   1.00    21.00   2.31    0.00    41.22   0.96   
100.00  0.91    21.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00008392
10.00   78.30   1.00    10.50   0.00    28.58   0.84   
20.00   77.66   1.00    7.97    0.00    30.03   0.87   
30.00   72.23   1.00    6.45    0.00    31.15   0.89   
40.00   75.66   1.00    5.41    0.00    32.23   0.91   
50.00   79.51   1.00    4.78    0.00    33.09   0.92   
60.00   78.32   1.00    4.21    0.00    33.89   0.93   
70.00   79.19   1.00    3.73    0.00    34.69   0.94   
80.00   78.84   1.00    2.89    0.00    36.57   0.96   
90.00   80.23   1.00    1.81    0.00    40.51   0.98   
100.00  80.77   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00009121
10.00   30.62   1.00    9.41    0.00    25.56   0.76   
20.00   21.30   2.00    6.74    0.00    26.92   0.82   
30.00   31.15   2.00    5.22    0.00    28.17   0.86   
40.00   25.55   2.00    4.33    0.00    29.37   0.89   
50.00   25.92   2.00    3.74    0.00    30.37   0.91   
60.00   24.19   2.00    3.29    0.00    31.30   0.93   
70.00   20.06   2.00    2.93    0.00    32.32   0.94   
80.00   20.04   3.00    2.36    0.00    34.43   0.96   
90.00   19.67   3.00    1.61    0.00    38.92   0.99   
100.00  19.96   3.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00009529
10.00   3.96    7.00    12.09   0.00    29.49   0.85   
20.00   4.43    5.00    9.25    0.00    30.96   0.88   
30.00   3.49    7.00    7.65    0.00    32.23   0.90   
40.00   3.06    8.00    6.37    0.00    33.36   0.91   
50.00   2.99    11.00   5.69    0.00    34.19   0.92   
60.00   2.81    12.00   5.05    0.00    34.97   0.93   
70.00   2.79    12.00   4.49    0.00    35.77   0.94   
80.00   2.70    10.00   3.45    0.00    37.42   0.95   
90.00   2.91    9.00    2.07    0.00    40.65   0.97   
100.00  3.03    10.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00011022
10.00   99.38   1.00    11.24   0.00    27.13   0.82   
20.00   99.49   1.00    8.26    0.00    28.53   0.86   
30.00   99.21   1.00    6.69    0.00    29.60   0.88   
40.00   99.14   1.00    5.40    0.00    30.86   0.91   
50.00   99.15   1.00    4.61    0.00    31.91   0.92   
60.00   99.22   1.00    4.05    0.00    32.78   0.93   
70.00   99.29   1.00    3.62    0.00    33.61   0.94   
80.00   99.08   1.00    2.78    0.00    35.81   0.96   
90.00   99.18   1.00    1.81    0.00    39.88   0.98   
100.00  99.16   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00011094
10.00   0.58    26.00   14.05   0.00    29.97   0.86   
20.00   0.73    25.00   10.64   0.00    31.14   0.89   
30.00   0.76    25.00   8.46    0.00    32.29   0.91   
40.00   0.74    24.00   7.17    0.00    33.29   0.92   
50.00   0.68    24.00   6.11    0.00    34.03   0.93   
60.00   0.87    20.00   5.35    0.00    34.96   0.94   
70.00   1.07    16.00   4.74    0.00    35.75   0.94   
80.00   1.05    17.00   3.63    0.00    37.44   0.96   
90.00   0.96    19.00   2.18    0.00    40.73   0.97   
100.00  0.90    23.00   1.00    0.00    inf     1.00   
# ILSVRC2012_val_00012903
10.00   94.80   1.00    7.01    0.00    26.19   0.88   
20.00   94.62   1.00    5.36    0.00    27.78   0.91   
30.00   97.04   1.00    4.44    0.00    29.05   0.92   
40.00   94.33   1.00    3.79    0.00    30.62   0.94   
50.00   94.22   1.00    3.34    0.00    31.68   0.95   
60.00   96.06   1.00    3.00    0.00    32.62   0.96   
70.00   95.26   1.00    2.71    0.00    33.56   0.97   
80.00   94.26   1.00    2.18    0.00    35.77   0.98   
90.00   93.79   1.00    1.55    0.00    40.21   0.99   
100.00  94.00   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00014542
10.00   24.60   2.00    22.19   0.00    30.90   0.74   
20.00   31.70   2.00    15.61   0.00    31.61   0.77   
30.00   30.58   1.00    11.51   0.00    32.22   0.79   
40.00   34.36   1.00    8.82    0.00    32.89   0.82   
50.00   37.12   1.00    7.06    0.00    33.47   0.84   
60.00   36.21   2.00    5.71    0.00    34.12   0.87   
70.00   34.10   2.00    4.73    0.00    34.90   0.89   
80.00   31.22   2.00    3.36    0.00    36.67   0.93   
90.00   33.20   2.00    1.87    0.00    40.59   0.97   
100.00  29.69   2.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00015392
10.00   96.83   1.00    24.34   0.00    33.69   0.91   
20.00   98.81   1.00    18.97   0.00    34.84   0.92   
30.00   98.86   1.00    15.34   0.00    35.76   0.93   
40.00   99.35   1.00    12.79   0.00    36.65   0.94   
50.00   99.69   1.00    11.02   0.00    37.36   0.94   
60.00   99.38   1.00    9.52    0.00    37.91   0.95   
70.00   99.64   1.00    8.58    0.00    38.43   0.95   
80.00   99.69   1.00    6.21    0.00    39.67   0.96   
90.00   99.52   1.00    2.90    0.00    42.07   0.97   
100.00  99.54   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00015640
10.00   2.01    7.00    5.14    0.00    25.00   0.89   
20.00   2.04    9.00    4.09    0.00    26.88   0.93   
30.00   2.48    6.00    3.39    0.00    28.77   0.95   
40.00   2.36    7.00    2.96    0.00    30.39   0.96   
50.00   2.66    5.00    2.71    0.00    31.41   0.97   
60.00   2.96    5.00    2.50    0.00    32.49   0.97   
70.00   3.13    5.00    2.30    0.00    33.68   0.98   
80.00   3.06    5.00    1.97    0.00    35.90   0.99   
90.00   3.53    5.00    1.47    0.00    40.51   0.99   
100.00  3.34    5.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00016480
10.00   0.97    23.00   23.32   0.00    31.73   0.86   
20.00   1.68    8.00    18.19   0.00    32.73   0.88   
30.00   6.75    1.00    14.92   0.00    33.51   0.89   
40.00   8.99    1.00    12.23   0.00    34.30   0.89   
50.00   6.54    1.00    10.08   0.00    34.94   0.90   
60.00   8.49    1.00    8.63    0.00    35.39   0.90   
70.00   12.88   1.00    7.10    0.00    35.89   0.91   
80.00   20.41   1.00    4.59    0.00    37.37   0.93   
90.00   21.97   1.00    2.10    0.00    40.93   0.96   
100.00  31.38   1.00    1.00    0.00    inf     1.00   
# ILSVRC2012_val_00016627
10.00   85.68   1.00    7.74    0.00    25.05   0.76   
